Course,Title,AU,"Course
Type","Course
Group",S/U Grade option,"Index
Number",Status,Choice,"Class
Type",Group,Day,Time,Venue,Remark,Swop
CC0001,INQUIRY & COMMUNICATION IN AN INTERDISCIPLINARY WORLD,2,CORE,INTERDISCIPLINARY COLLABORATIVE CORE,,82424,REGISTERED,,TUT,T038,TUE,1030-1220,"LHN-TR+24
[Tutorial Room + 24 (The Arc)]
LHN-L1-12, Level 1",Teaching Wk2-13,
CC0002,NAVIGATING THE DIGITAL WORLD,2,CORE,INTERDISCIPLINARY COLLABORATIVE CORE,,83377,REGISTERED,,TUT,T22,TUE,1630-1820,"LHN-TR+36
[Tutorial Room + 36 (The Arc)]
LHN-L2-02, Level 2",Teaching Wk1-13,
,,,,,,,,,LEC/STUDIO,LE,THU,1830-2120,"LT1
[LT1 (NS)]","Teaching Wk7,12,13",
,,,,,,,,,LEC/STUDIO,LE,THU,1830-2120,"LT2A
[LT2A (NS)]","Teaching Wk7,12,13",
,,,,,,,,,LEC/STUDIO,LE,THU,1830-2120,"LKC-LT
[Lee Kong Chian LT / LKC LT (SS)]","Teaching Wk7,12,13",
,,,,,,,,,LEC/STUDIO,LE,THU,1830-2120,"LT1A
[LT1A (NS)]","Teaching Wk7,12,13",
MH1812,DISCRETE MATHEMATICS,3,CORE,,,10509,REGISTERED,,TUT,A70,TUE,0930-1020,"LHN-TR+19
[Tutorial Room + 19 (The Arc)]
LHN-L1-07, Level 1",Teaching Wk2-13,
,,,,,,,,,LEC/STUDIO,L1,FRI,1530-1620,"LT2A
[LT2A (NS)]",Teaching Wk1-13,
SC1004,LINEAR ALGEBRA FOR COMPUTING,3,CORE,,,10543,REGISTERED,,TUT,A90,THU,1330-1420,"LHN-TR+18
[Tutorial Room + 18 (The Arc)]
LHN-L1-06, Level L1",Teaching Wk2-13,
,,,,,,,,,LEC/STUDIO,L1,MON,0930-1020,ONLINE,Teaching Wk1-13,
,,,,,,,,,LEC/STUDIO,L1,WED,0930-1020,ONLINE,Teaching Wk1-13,
SC1006,COMPUTER ORGANISATION & ARCHITECTURE,3,CORE,,,10563,REGISTERED,,TUT,A34,TUE,1330-1420,"TR+4
[Tutorial Room + 4 (NS)]
NS4-05-82, Level 5",Teaching Wk2-13,
,,,,,,,,,LAB,A34,TUE,1430-1620,"HW2_2
L1-B","Teaching Wk3,5,7,9,11,13",
,,,,,,,,,LEC/STUDIO,L1,WED,1030-1120,ONLINE,Teaching Wk1-13,
,,,,,,,,,LEC/STUDIO,L1,MON,1030-1120,ONLINE,Teaching Wk1-13,
SC1007,DATA STRUCTURES & ALGORITHMS,3,CORE,,,10592,REGISTERED,,TUT,A112,WED,1430-1520,"TR+20
[Tutorial Room + 20 (NS)]
NS4-05-98, Level 5",Teaching Wk2-13,
,,,,,,,,,LAB,A112,WED,1230-1420,"SW2_2
L1-C",Teaching Wk2-13,
,,,,,,,,,LEC/STUDIO,L1,WED,1530-1620,ONLINE,Teaching Wk1-13,
,,,,,,,,,LEC/STUDIO,L1,MON,1530-1620,ONLINE,Teaching Wk1-13,
SC1015,INTRODUCTION TO DATA SCIENCE & ARTIFICIAL INTELLIGENCE,3,CORE,INTERDISCIPLINARY COLLABORATIVE CORE,,10637,REGISTERED,,LAB,B135,THU,1430-1620,"HW3_1
B1-A",Teaching Wk2-13,
,,,,,,,,,LEC/STUDIO,L1,FRI,1630-1720,ONLINE,Teaching Wk1-13,
BS4018,BIOLOGY OF AGING & NEURODEGENERATION,3,,,,08686,REGISTERED,,LEC/STUDIO,LE1,MON2,1430-1620,LT5,Teaching Wk1-13,
,,,,,,,,,TUT,T2,FRI2,1030-1120,SBS-CR4,Teaching Wk1-13,
HP4104,EVIDENCE-BASED PRACTICE IN CLINICAL PSYCHOLOGY,4,,,,19756,REGISTERED,,SEM,SEM1,TUE2,0930-1220,LT11,Teaching Wk1-13,
BS4019,DISCOVERY & DEVELOPMENT OF THERAPEUTIC ANTIBODIES,3,,,,08689,REGISTERED,,LEC/STUDIO,LE1,TUE2,1530-1720,LT15,Teaching Wk1-13,
,,,,,,,,,TUT,T1,TUE2,1730-1820,LT15,Teaching Wk1-13,
HP3002,POSITIVE PSYCHOLOGY,3,,,,19735,REGISTERED,,LEC/STUDIO,LEC2,THU2,1330-1620,LT6,Teaching Wk1-13,
HP3601,HUMAN MEMORY,3,,,,19743,REGISTERED,,LEC/STUDIO,LEC1,WED2,1330-1620,LT14,Teaching Wk1-13,
